Timestamp,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
1751442361.3989367,417,157,104,150,516,745,434,151
1751442361.4070363,453,174,114,162,572,819,468,190
1751442361.4296823,529,177,125,175,605,834,474,216
1751442361.450049,572,183,130,167,558,745,451,264
1751442361.4669945,516,180,131,158,508,673,663,337
1751442361.488977,576,223,177,171,449,615,766,723
1751442361.5100822,808,231,177,162,370,518,805,1069
1751442361.5267823,770,232,177,148,284,501,852,1078
1751442361.5492284,752,227,174,142,231,481,851,1081
1751442361.5705862,738,207,171,133,197,442,658,1060
1751442361.5872684,634,132,105,99,191,396,495,844
1751442361.6086092,227,89,91,92,177,327,368,281
1751442361.6306756,193,78,79,82,159,196,187,223
1751442361.6465394,129,65,73,78,145,151,155,140
1751442361.6764822,102,59,60,74,145,147,133,93
1751442361.6912768,73,53,58,79,139,161,117,70
1751442361.7070312,64,58,62,78,137,163,97,64
1751442361.7282543,58,62,60,84,148,159,78,70
1751442361.750745,71,64,55,90,151,167,76,65
1751442361.7667422,77,64,54,97,154,169,70,62
1751442361.795386,76,64,58,98,170,163,57,66
1751442361.809979,80,63,51,106,184,162,61,77
1751442361.8270555,82,57,50,110,185,161,60,72
1751442361.8492212,67,53,53,99,186,154,61,81
1751442361.8702419,54,55,52,92,182,149,58,86
1751442361.8861523,51,52,45,88,167,137,59,80
1751442361.9093757,42,49,46,74,148,121,53,70
1751442361.9297943,41,48,46,64,139,107,55,72
1751442361.9541674,38,48,41,67,124,99,51,63
1751442361.9690776,37,45,42,67,115,90,48,61
1751442361.9920475,36,41,45,67,111,86,46,70
1751442362.0071702,36,43,44,72,118,81,47,73
1751442362.0285466,35,42,41,73,123,85,47,72
1751442362.0504954,34,43,44,68,125,90,50,74
1751442362.0665936,36,45,49,64,134,90,50,69
1751442362.089976,37,48,46,60,133,93,51,59
1751442362.1109645,40,56,50,52,126,106,50,57
1751442362.1264164,43,64,57,50,133,111,56,58
1751442362.1490731,46,68,59,49,139,114,62,62
1751442362.1698456,60,74,57,52,136,145,141,67
1751442362.1865273,79,74,64,57,143,209,402,67
1751442362.2092178,92,81,64,62,142,339,699,67
1751442362.2319813,93,79,59,67,140,369,725,73
1751442362.2464619,91,75,55,68,129,374,727,69
1751442362.2768316,85,70,56,65,127,380,716,69
1751442362.2909462,68,67,52,63,122,388,614,68
1751442362.3137689,48,52,56,60,127,317,231,67
1751442362.3355408,50,50,60,57,130,479,299,155
1751442362.3506997,78,51,70,56,150,884,442,175
1751442362.3722146,76,49,66,55,155,908,459,179
1751442362.3954391,83,52,67,59,163,945,459,182
1751442362.410027,85,51,64,56,159,934,511,193
1751442362.4332545,84,48,60,52,160,852,442,128
1751442362.4555907,60,49,51,56,149,410,299,98
1751442362.470519,60,48,52,57,163,339,275,92
1751442362.4931655,54,48,50,52,236,135,267,92
1751442362.5149992,60,45,51,60,245,130,139,67
1751442362.5301886,75,53,55,60,334,136,108,72
1751442362.5529222,78,53,56,55,353,151,98,75
1751442362.5755637,87,59,62,52,529,170,83,72
1751442362.5910347,97,83,63,59,634,192,82,67
1751442362.6199155,99,101,67,62,965,213,75,66
1751442362.635294,88,100,62,63,963,203,75,60
1751442362.6501572,85,101,59,61,966,194,73,59
1751442362.673231,92,101,60,63,886,175,81,70
1751442362.695631,139,101,67,90,985,437,112,77
1751442362.709986,175,116,79,100,1043,630,125,129
1751442362.7324464,174,117,81,99,1034,634,124,133
1751442362.7556748,175,115,83,104,1030,638,124,138
1751442362.7864394,168,113,79,104,1028,641,118,134
1751442362.7933798,126,96,74,78,848,493,84,133
1751442362.8155835,56,56,56,58,270,170,52,82
1751442362.830752,58,48,56,59,198,143,46,77
1751442362.853013,60,50,57,53,163,121,44,66
1751442362.8756244,61,46,59,53,127,96,45,61
1751442362.8900614,59,57,58,51,111,73,50,53
1751442362.9129639,69,56,57,49,71,63,47,51
1751442362.9353192,109,61,57,50,72,64,55,47
1751442362.957809,141,85,60,50,73,54,54,50
1751442362.9722364,193,123,58,49,71,65,51,51
1751442362.995715,202,136,57,57,79,74,51,60
1751442363.017195,202,136,56,61,81,77,58,69
1751442363.0337393,191,138,57,65,88,78,51,72
1751442363.0638282,173,125,56,65,91,82,52,75
1751442363.0779288,117,88,59,67,92,78,53,78
1751442363.0933895,106,63,59,62,89,70,51,82
1751442363.1144981,110,71,61,57,89,65,55,79
1751442363.138236,95,68,56,56,80,63,61,78
1751442363.1531167,86,67,55,56,72,62,68,78
1751442363.1765473,81,69,60,57,71,59,70,78
1751442363.1976442,91,69,65,55,63,62,71,71
1751442363.2129571,134,61,69,57,59,58,71,70
1751442363.236936,147,59,73,56,65,67,71,72
1751442363.2578096,151,59,75,59,65,68,65,94
1751442363.27281,154,62,77,61,66,68,62,94
1751442363.2955406,146,59,75,62,67,65,56,95
1751442363.3181946,104,67,75,60,68,74,57,96
1751442363.3398883,135,80,77,62,83,100,68,104
1751442363.3553495,140,87,77,61,95,106,84,95
1751442363.3776577,142,97,75,57,98,113,91,101
1751442363.3922014,141,96,74,58,100,113,93,100
1751442363.415952,141,93,70,62,104,109,90,97
1751442363.4382215,94,82,67,58,87,80,77,88
1751442363.45285,81,72,65,61,80,67,58,76
1751442363.4753575,69,58,60,62,80,52,48,68
1751442363.4976814,64,62,56,61,79,47,43,65
1751442363.5129726,60,59,52,56,74,44,42,60
1751442363.5357125,72,63,51,55,77,42,41,55
1751442363.5574088,71,67,51,51,76,98,47,51
1751442363.573195,105,71,55,55,90,112,61,52
1751442363.5959496,134,72,55,59,90,120,63,49
1751442363.618228,157,77,62,60,93,126,60,54
1751442363.6324375,178,78,68,63,93,131,62,73
1751442363.655144,182,80,72,81,95,100,60,73
1751442363.6782067,174,79,122,83,87,100,56,84
1751442363.693187,160,74,646,89,85,93,64,111
1751442363.714557,146,69,800,89,89,89,77,167
1751442363.7379553,113,60,938,655,91,104,98,174
1751442363.752398,142,58,1025,858,89,105,104,204
1751442363.7756696,137,49,1057,1019,98,114,117,221
1751442363.8060455,132,51,1023,1130,112,133,119,229
1751442363.812853,125,54,1000,1170,111,130,113,193
1751442363.8355923,125,57,925,1006,113,118,94,182
1751442363.865872,77,53,868,864,115,113,88,150
1751442363.8806782,67,53,843,700,120,98,68,120
1751442363.8965704,58,51,626,690,113,79,62,84
1751442363.9178677,53,45,468,736,107,84,64,87
1751442363.9482572,52,46,358,792,101,78,64,82
1751442363.9553058,52,45,253,831,99,78,62,76
1751442363.978489,50,49,184,842,73,69,55,66
1751442363.9993124,47,54,155,725,68,60,49,61
1751442364.0146127,57,64,144,626,69,54,44,57
1751442364.037928,68,77,138,509,79,51,44,61
1751442364.0600069,77,80,122,406,76,51,45,71
1751442364.075875,91,92,116,332,71,62,47,71
1751442364.097404,103,102,122,277,77,68,48,70
1751442364.1202736,104,119,128,245,79,82,55,65
1751442364.1438513,104,117,126,219,73,85,55,66
1751442364.1584778,103,120,128,194,91,85,57,65
1751442364.1807518,98,113,124,168,111,76,60,79
1751442364.1964874,92,105,112,146,121,74,64,82
1751442364.217497,94,85,99,134,139,69,64,90
1751442364.240932,98,84,89,122,152,95,78,101
1751442364.2574375,104,81,90,119,162,113,88,115
1751442364.277947,105,86,87,115,158,126,99,121
1751442364.300363,111,93,88,114,159,139,109,133
1751442364.315931,116,88,88,110,155,141,114,136
1751442364.3380623,116,91,91,114,149,129,107,136
1751442364.3610437,120,91,88,113,141,118,105,129
1751442364.3768468,118,85,83,110,141,112,98,124
1751442364.4059827,112,76,79,108,130,97,88,110
1751442364.4203537,106,74,79,106,130,88,79,102
1751442364.436842,98,67,73,109,134,90,83,94
1751442364.466307,91,65,64,101,131,86,75,86
1751442364.4801006,85,67,67,100,140,79,70,81
1751442364.4955103,90,76,71,107,150,84,65,81
1751442364.5176723,88,83,70,113,155,86,74,88
1751442364.5404284,98,86,80,108,153,87,72,92
1751442364.5638425,100,97,86,115,163,99,84,104
1751442364.578174,123,102,90,120,162,106,93,115
1751442364.6004827,142,111,106,116,163,124,112,136
1751442364.615745,157,111,114,120,163,138,117,157
1751442364.6382434,168,125,116,126,169,146,123,173
1751442364.659779,176,127,123,134,170,151,128,179
1751442364.6756997,174,133,126,150,177,161,132,188
1751442364.6975884,173,132,128,169,182,159,136,186
1751442364.7285984,173,146,133,180,192,163,138,178
1751442364.7353873,167,149,141,193,210,167,142,175
1751442364.75754,173,156,152,200,231,179,155,184
1751442364.7803166,177,170,172,214,243,192,168,189
1751442364.7953792,180,185,182,219,252,206,172,197
1751442364.818228,186,191,191,220,248,204,177,198
1751442364.840742,188,195,195,217,233,200,180,192
1751442364.8704488,176,189,187,206,207,186,169,178
1751442364.8780735,164,172,167,180,185,162,153,160
1751442364.9002597,145,151,147,158,165,132,136,142
1751442364.9236522,123,134,127,149,156,122,120,130
1751442364.9370527,119,118,119,153,157,124,109,127
1751442364.9603944,126,128,118,171,174,126,109,122
1751442364.9834921,129,139,126,196,200,141,113,133
1751442365.0055711,144,152,136,213,224,152,118,137
1751442365.0200934,158,154,147,222,240,157,120,143
1751442365.0440154,158,153,141,219,247,151,120,146
1751442365.0575726,149,141,135,214,241,147,118,152
1751442365.0801442,151,130,128,199,226,134,112,146
1751442365.1034262,142,124,123,187,205,126,110,147
1751442365.1182373,133,122,115,169,183,125,110,143
